solar panels,male count,female count,baby,olders,employeed,income,district,squrefeet,units
No,1,2,1,0,2,"Between Rs. 50,000 and Rs. 100,000",Kaluthara,"Less than 1,500 square feet",109
No,1,2,1,0,2,"Between Rs. 50,000 and Rs. 100,000",Kaluthara,"Less than 1,500 square feet",109
No,3,2,0,2,2,"Between Rs. 200,000 and Rs. 300,000",Colombo,"1,500 to 2,500 square feet",300
No,3,4,1,3,3,"Between Rs. 300,000 and Rs.400,000",Colombo,"3,500 to 4,500 square feet",414
No,4,4,2,1,2,"Between Rs. 300,000 and Rs.400,000",Gampaha,"More than 4,500 square feet",404
No,4,3,0,2,3,"Above Rs. 400,000",Kaluthara,"3,500 to 4,500 square feet",391
No,3,4,2,1,3,"Above Rs. 400,000",Colombo,"3,500 to 4,500 square feet",414
No,3,3,1,2,3,"Above Rs. 400,000",Kaluthara,"More than 4,500 square feet",415
No,3,4,0,3,3,"Above Rs. 400,000",Gampaha,"3,500 to 4,500 square feet",386
No,3,3,2,2,3,"Above Rs. 400,000",Colombo,"3,500 to 4,500 square feet",406
No,4,3,1,2,3,"Between Rs. 300,000 and Rs.400,000",Gampaha,"More than 4,500 square feet",398
No,4,3,2,1,2,"Above Rs. 400,000",Gampaha,"3,500 to 4,500 square feet",393
No,3,3,1,2,3,"Between Rs. 300,000 and Rs.400,000",Colombo,"3,500 to 4,500 square feet",400
No,2,3,1,1,2,"Between Rs. 100,000 and Rs. 200,000",Gampaha,"2,500 to 3,500 square feet",234
No,3,3,1,2,2,"Between Rs. 200,000 and Rs. 300,000",Colombo,"2,500 to 3,500 square feet",238
No,2,2,1,1,1,"Between Rs. 100,000 and Rs. 200,000",Gampaha,"1,500 to 2,500 square feet",233
No,2,2,0,2,2,"Between Rs. 100,000 and Rs. 200,000",Colombo,"1,500 to 2,500 square feet",253
No,3,2,1,1,2,"Between Rs. 100,000 and Rs. 200,000",Colombo,"2,500 to 3,500 square feet",245
No,4,3,2,1,2,"Above Rs. 400,000",Gampaha,"3,500 to 4,500 square feet",393
No,1,0,0,0,1,"Between Rs. 200,000 and Rs. 300,000",Colombo,"1,500 to 2,500 square feet",116
No,3,1,0,0,1,"Between Rs. 100,000 and Rs. 200,000",Gampaha,"1,500 to 2,500 square feet",240
No,2,2,1,0,1,"Between Rs. 100,000 and Rs. 200,000",Colombo,"1,500 to 2,500 square feet",249
No,2,2,0,0,2,"Between Rs. 200,000 and Rs. 300,000",Gampaha,"2,500 to 3,500 square feet",262
No,1,3,0,0,1,"Between Rs. 100,000 and Rs. 200,000",Gampaha,"2,500 to 3,500 square feet",240
No,2,0,0,0,2,"Between Rs. 300,000 and Rs.400,000",Colombo,"2,500 to 3,500 square feet",240
No,2,1,0,0,1,"Between Rs. 200,000 and Rs. 300,000",Colombo,"2,500 to 3,500 square feet",252
No,1,1,0,0,1,"Between Rs. 100,000 and Rs. 200,000",Colombo,"Less than 1,500 square feet",115
No,2,2,0,0,2,"Between Rs. 200,000 and Rs. 300,000",Colombo,"1,500 to 2,500 square feet",130
