Solar,Male,Female,children,Adult,Employee,Income,District,landSize,AirCondioner,Fan,Micro,TV,Refig,Iron,Geyser,WashingMaching,Profile,Units
0,3,3,0,2,3,4,0,3,2,0,0,0,0,0,0,0,2,400.9066667
0,2,3,0,0,2,2,0,2,2,0,0,0,0,0,0,0,2,406.3333333
0,3,3,0,2,2,3,0,2,0,5,0,3,0,0,0,0,2,244.0833333
0,2,2,0,0,0,2,0,0,0,3,0,2,0,0,0,0,2,248.0833333
0,2,2,0,2,2,2,0,0,0,3,0,2,0,0,0,0,2,242.25
0,3,2,0,0,2,2,0,2,0,4,0,0,0,0,0,0,2,240.4066667
0,4,3,2,0,2,5,0,3,0,4,0,2,0,0,0,0,2,242.75
0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,2,0,2,400.9066667
0,3,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,8.8333333
0,2,2,0,0,0,2,0,0,0,3,0,0,0,0,0,0,2,239.8333333
0,2,2,0,0,2,3,0,2,0,4,2,0,0,0,0,0,2,247.3333333
0,0,3,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,264.8333333
0,2,0,0,0,2,4,0,2,0,0,0,0,0,0,0,0,2,256.9066667
0,2,0,0,0,0,3,0,2,0,3,0,2,2,0,0,0,2,248.5833333
0,0,0,0,0,0,2,0,0,0,2,0,3,0,0,0,2,2,257.6666667
0,2,2,0,0,2,3,0,0,0,5,0,0,0,0,0,0,0,2.25
0,0,2,0,0,0,0,0,0,0,5,0,2,2,0,0,0,0,40.0833333
0,2,2,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,3.8333333
0,0,0,0,2,0,2,0,0,0,5,0,0,2,0,0,0,2,259.0833333
0,0,2,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,56.3333333
0,0,0,0,0,2,3,0,2,0,2,0,0,0,0,0,0,0,20.75
0,0,0,0,0,0,2,0,0,0,2,0,2,2,0,0,0,2,247.6666667
0,0,0,0,0,0,2,0,2,0,4,0,0,0,0,0,0,0,28.6666667
0,2,0,0,0,2,3,0,2,0,4,0,2,2,0,0,0,2,259.0666667
0,0,0,0,0,0,2,0,0,0,2,0,3,2,0,0,2,2,267.25
0,0,5,0,0,5,4,0,0,0,3,0,2,0,0,0,0,0,43
0,0,0,0,0,0,2,0,0,0,4,0,3,2,0,0,0,2,264.5833333
0,0,2,0,0,0,0,2,0,0,5,0,2,0,0,0,0,0,5.5
0,3,4,0,2,2,3,2,2,0,4,0,0,0,0,0,0,0,2.0666667
0,3,3,0,0,0,0,0,2,0,2,0,2,0,0,0,0,2,206.0666667
0,0,0,2,0,0,2,0,0,0,3,0,2,2,0,0,0,2,49.0666667
0,0,2,0,0,2,3,0,0,0,4,0,0,0,0,0,0,0,0.4066667
0,2,0,0,0,0,2,0,0,0,4,0,2,0,0,0,2,2,247.25
0,2,3,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,6.4066667
0,2,2,0,2,2,3,0,0,0,2,0,0,0,0,0,0,0,90
0,0,3,0,0,3,2,0,0,0,2,0,2,0,0,0,0,0,60.8333333
0,3,3,0,2,0,2,4,2,0,2,0,2,0,0,0,0,0,8.9066667
0,2,3,0,0,2,2,0,0,0,2,0,2,0,0,0,0,0,28.4066667
0,2,4,2,0,3,3,0,2,0,2,0,2,0,0,0,0,0,28.5
0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,37.75
0,0,2,0,0,0,2,0,0,0,3,0,2,0,0,0,0,0,4.5833333
0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,79.25
0,5,0,0,0,5,3,0,0,0,4,0,2,2,0,0,0,0,58.75
0,2,0,0,0,0,2,0,0,0,2,0,3,0,0,0,0,2,88.0833333
0,0,2,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,45.6666667
0,3,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,96.90666667
0,5,3,0,0,3,5,0,4,0,3,0,2,2,0,0,0,2,49.0666667
0,2,4,0,0,2,3,0,2,0,0,0,2,0,0,0,0,2,250.8333333
0,5,0,0,2,2,5,0,3,0,3,0,0,0,0,0,0,2,308.5833333
0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,3,447.0666667
0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,50
0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,2,229.4066667
0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,2,75.5
0,2,2,0,2,2,3,0,0,2,3,0,2,0,0,0,0,0,54.6666667
0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,80
0,0,3,0,0,2,2,0,0,0,5,0,2,2,0,0,0,0,27.4066667
0,0,2,0,0,0,0,0,0,0,6,0,2,2,2,0,0,2,97.5833333
0,0,0,0,0,0,0,0,0,0,5,0,2,2,0,0,0,0,34.5
0,0,0,0,2,0,0,0,0,0,3,0,2,0,0,0,0,0,2.5833333
0,3,4,0,3,3,4,0,3,0,2,0,0,0,0,0,0,0,0.9066667
0,2,2,0,0,2,,0,2,2,0,0,0,0,0,0,0,2,400.75
0,5,0,0,2,2,5,0,3,0,2,0,0,0,0,0,0,2,235.0833333
0,4,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,3,447.0666667
0,2,4,0,0,2,5,0,2,0,0,0,0,0,0,0,0,0,23.75
0,2,3,0,0,2,3,0,2,0,2,0,0,0,0,2,0,2,406
0,3,0,0,0,2,3,0,0,0,4,0,0,0,0,0,0,2,232.6666667
0,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,55.0666667
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25
0,4,0,0,0,3,5,0,3,0,0,0,0,0,0,0,0,0,89.66666667
0,2,4,0,2,2,5,0,4,2,5,0,2,2,0,0,0,2,356.75
0,4,3,0,0,2,4,0,2,0,2,0,0,0,0,2,0,2,429.0666667
0,4,3,0,2,2,4,0,2,0,3,0,2,2,0,0,0,2,224.0666667
0,4,3,0,0,2,5,0,4,0,3,0,2,2,0,0,0,2,242.75
0,2,2,0,0,0,3,0,0,0,2,0,0,0,0,2,0,2,423.25
0,2,2,0,0,2,3,2,2,0,2,0,0,0,0,0,0,0,65
0,2,2,0,0,2,3,2,2,0,0,0,2,2,0,0,0,2,220
0,0,4,0,2,0,4,0,0,0,2,0,2,0,0,0,0,2,220
0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,265
0,2,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,58.83333333
0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,262.6666667
0,3,2,0,0,2,2,0,0,0,3,0,0,0,0,0,0,2,273.3333333
0,0,2,0,0,0,0,2,0,3,4,2,0,0,0,0,0,2,379.5833333
0,2,3,0,0,2,3,0,3,0,2,0,0,0,0,0,0,2,264
0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,400.25
0,3,3,3,2,2,4,0,3,0,2,0,0,0,0,0,0,2,264.5
0,3,4,2,2,2,4,0,3,0,2,0,0,0,0,2,0,2,404.75
0,2,3,0,0,2,3,2,2,0,2,0,0,0,0,2,0,2,404.75
0,2,2,0,0,2,0,0,0,3,5,3,4,3,3,3,0,3,503.6666667
0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,99.08333333
0,2,3,0,2,0,0,0,0,,0,0,0,0,0,0,0,0,89.90666667
0,0,3,2,0,0,2,2,0,0,2,0,2,0,2,0,0,2,88.90666667
0,3,3,0,0,2,4,0,3,0,2,0,0,0,0,0,0,2,256.0833333
0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,3,472.8333333
0,0,0,0,0,2,5,0,3,0,0,0,0,0,0,0,0,0,85.58333333
0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,239.0833333
0,3,2,0,2,2,5,0,4,0,5,2,4,0,0,0,0,2,382
0,0,0,0,0,0,0,0,0,3,4,2,4,4,4,3,0,3,504.8333333
0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
0,2,2,0,0,2,3,0,2,0,2,0,0,0,0,0,0,2,0.8333333
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,80
0,3,2,2,0,2,5,0,4,0,2,0,0,0,0,0,0,0,33.25
0,2,2,0,0,0,2,0,2,2,2,2,0,0,2,2,0,3,354
0,4,3,0,3,2,5,2,4,0,0,0,0,2,0,0,0,2,293.3333333
0,2,0,0,0,0,0,0,0,3,2,2,2,0,0,2,2,3,455.8333333
0,3,3,2,0,2,5,0,3,0,0,0,2,0,0,0,0,0,6.5
0,0,0,0,0,0,0,0,0,4,5,3,5,2,0,4,0,3,578.9066667
0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,29.3333333
0,2,2,0,0,2,3,2,3,0,3,0,0,2,0,0,0,2,280.25
0,2,3,0,2,2,3,0,3,3,5,0,6,3,3,4,0,3,589.75
0,3,4,0,2,2,5,0,4,3,5,3,4,3,0,4,0,3,503.75
